,kind,id,etag,selfLink,Title,volumeInfo.subtitle,Author,volumeInfo.publishedDate,volumeInfo.description,volumeInfo.industryIdentifiers,volumeInfo.readingModes.text,volumeInfo.readingModes.image,volumeInfo.pageCount,volumeInfo.printType,volumeInfo.averageRating,volumeInfo.ratingsCount,volumeInfo.maturityRating,volumeInfo.allowAnonLogging,volumeInfo.contentVersion,volumeInfo.panelizationSummary.containsEpubBubbles,volumeInfo.panelizationSummary.containsImageBubbles,volumeInfo.imageLinks.smallThumbnail,volumeInfo.imageLinks.thumbnail,volumeInfo.language,volumeInfo.previewLink,volumeInfo.infoLink,volumeInfo.canonicalVolumeLink,saleInfo.country,saleInfo.saleability,saleInfo.isEbook,accessInfo.country,accessInfo.viewability,accessInfo.embeddable,accessInfo.publicDomain,accessInfo.textToSpeechPermission,accessInfo.epub.isAvailable,accessInfo.pdf.isAvailable,accessInfo.webReaderLink,accessInfo.accessViewStatus,accessInfo.quoteSharingAllowed,searchInfo.textSnippet,volumeInfo.publisher,volumeInfo.categories,saleInfo.listPrice.amount,saleInfo.listPrice.currencyCode,saleInfo.retailPrice.amount,saleInfo.retailPrice.currencyCode,saleInfo.buyLink,saleInfo.offers,accessInfo.epub.acsTokenLink,Topic,accessInfo.pdf.acsTokenLink
0,books#volume,zjqzDAEACAAJ,WXmQ0T5d28M,https://www.googleapis.com/books/v1/volumes/zjqzDAEACAAJ,Python for Everybody,Exploring Data in Python 3,['Charles R. Severance'],2016-04-09,"Python for Everybody is designed to introduce students to programming and software development through the lens of exploring data. You can think of the Python programming language as your tool to solve data problems that are beyond the capability of a spreadsheet.Python is an easy to use and easy to learn programming language that is freely available on Macintosh, Windows, or Linux computers. So once you learn Python you can use it for the rest of your career without needing to purchase any software.This book uses the Python 3 language. The earlier Python 2 version of this book is titled ""Python for Informatics: Exploring Information"".There are free downloadable electronic copies of this book in various formats and supporting materials for the book at www.pythonlearn.com. The course materials are available to you under a Creative Commons License so you can adapt them to teach your own Python course.","[{'type': 'ISBN_10', 'identifier': '1530051126'}, {'type': 'ISBN_13', 'identifier': '9781530051120'}]",False,False,242.0,BOOK,5.0,1.0,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=zjqzDAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=zjqzDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com/books?id=zjqzDAEACAAJ&dq=Python&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=zjqzDAEACAAJ&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Python_for_Everybody.html?hl=&id=zjqzDAEACAAJ,US,NOT_FOR_SALE,False,US,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=zjqzDAEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,&quot;Designed to teach people to program even if they have no prior experience.,,,,,,,,,,python,
1,books#volume,aTkzEAAAQBAJ,E0yz9A1Y0s4,https://www.googleapis.com/books/v1/volumes/aTkzEAAAQBAJ,The Quick Python Book,,['Naomi Ceder'],2018-05-03,"Summary This third revision of Manning's popular The Quick Python Book offers a clear, crisp updated introduction to the elegant Python programming language and its famously easy-to-read syntax. Written for programmers new to Python, this latest edition includes new exercises throughout. It covers features common to other languages concisely, while introducing Python's comprehensive standard functions library and unique features in detail. Foreword by Nicholas Tollervey, Python Software Foundation. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Technology Initially Guido van Rossum's 1989 holiday project, Python has grown into an amazing computer language. It's a joy to learn and read, and powerful enough to handle everything from low-level system resources to advanced applications like deep learning. Elegantly simple and complete, it also boasts a massive ecosystem of libraries and frameworks. Python programmers are in high demand/mdash;you can't afford not to be fluent! About the Book The Quick Python Book, Third Edition is a comprehensive guide to the Python language by a Python authority, Naomi Ceder. With the personal touch of a skilled teacher, she beautifully balances details of the language with the insights and advice you need to handle any task. Extensive, relevant examples and learn-by-doing exercises help you master each important concept the first time through. Whether you're scraping websites or playing around with nested tuples, you'll appreciate this book's clarity, focus, and attention to detail. What's Inside Clear coverage of Python 3 Core libraries, packages, and tools In-depth exercises Five new data science-related chapters About the Reader Written for readers familiar with programming concepts--no Python experience assumed. About the Author Naomi Ceder is chair of the Python Software Foundation. She has been learning, using, and teaching Python since 2001. Table of Contents PART 1 - STARTING OUT 1. About Python 2. Getting started 3. The Quick Python overview PART 2 - THE ESSENTIALS 4. The absolute basics 5. Lists, tuples, and sets 6. Strings 7. Dictionaries 8. Control flow 9. Functions 10. Modules and scoping rules 11. Python programs 12. Using the filesystem 13. Reading and writing files 14. Exceptions PART 3 - ADVANCED LANGUAGE FEATURES 15. Classes and object-oriented programming 16. Regular expressions 17. Data types as objects 18. Packages 19. Using Python libraries PART 4 - WORKING WITH DATA 20. Basic file wrangling 21. Processing data files 22. Data over the network 23. Saving data 24. Exploring data","[{'type': 'ISBN_13', 'identifier': '9781638353430'}, {'type': 'ISBN_10', 'identifier': '1638353433'}]",True,False,472.0,BOOK,,,NOT_MATURE,False,1.1.1.0.preview.2,False,False,http://books.google.com/books/content?id=aTkzEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=aTkzEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=aTkzEAAAQBAJ&pg=PA1&dq=Python&hl=&cd=2&source=gbs_api,https://play.google.com/store/books/details?id=aTkzEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=aTkzEAAAQBAJ,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,True,False,http://play.google.com/books/reader?id=aTkzEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Python programmers are in high demand/mdash;you can&#39;t afford not to be fluent! About the Book The Quick Python Book, Third Edition is a comprehensive guide to the Python language by a Python authority, Naomi Ceder.",Simon and Schuster,['Computers'],30.99,USD,30.99,USD,https://play.google.com/store/books/details?id=aTkzEAAAQBAJ&rdid=book-aTkzEAAAQBAJ&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 30990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 30990000, 'currencyCode': 'USD'}, 'giftable': True}]",http://books.google.com/books/download/The_Quick_Python_Book-sample-epub.acsm?id=aTkzEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,python,
2,books#volume,Chr1NDlUcI8C,zV4RMC9kZWA,https://www.googleapis.com/books/v1/volumes/Chr1NDlUcI8C,Python Essential Reference,,['David M. Beazley'],2009,Presents a guide to the features and library modules of the Python programming language.,"[{'type': 'ISBN_13', 'identifier': '9780672329784'}, {'type': 'ISBN_10', 'identifier': '0672329786'}]",True,True,717.0,BOOK,4.5,9.0,NOT_MATURE,True,0.3.2.0.preview.3,,,http://books.google.com/books/content?id=Chr1NDlUcI8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Chr1NDlUcI8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=Chr1NDlUcI8C&printsec=frontcover&dq=Python&hl=&cd=3&source=gbs_api,http://books.google.com/books?id=Chr1NDlUcI8C&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Python_Essential_Reference.html?hl=&id=Chr1NDlUcI8C,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,False,False,http://play.google.com/books/reader?id=Chr1NDlUcI8C&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,Presents a guide to the features and library modules of the Python programming language.,Addison-Wesley Professional,['Computers'],,,,,,,,python,
3,books#volume,bTUFCAAAQBAJ,6dHfABqDEZY,https://www.googleapis.com/books/v1/volumes/bTUFCAAAQBAJ,Effective Python,59 Specific Ways to Write Better Python,['Brett Slatkin'],2015,"""It's easy to start writing code with Python: that's why the language is so immensely popular. However, Python has unique strengths, charms, and expressivity that can be hard to grasp at first -- as well as hidden pitfalls that can easily trip you up if you aren't aware of them. Effective Python will help you harness the full power of Python to write exceptionally robust, efficient, maintainable, and well-performing code. Utilizing the concise, scenario-driven style pioneered in Scott Meyers's best-selling Effective C++, Brett Slatkin brings together 53 Python best practices, tips, shortcuts, and realistic code examples from expert programmers. Through realistic examples, Slatkin uncovers little-known Python quirks, intricacies, and idioms that powerfully impact code behavior and performance. You'll learn how to choose the most efficient and effective way to accomplish key tasks when multiple options exist, and how to write code that's easier to understand, maintain, and improve. Drawing on his deep understanding of Python's capabilities, Slatkin offers practical advice for each major area of development with both Python 3.x and Python 2.x. Coverage includes: * Algorithms * Objects * Concurrency * Collaboration * Built-in modules * Production techniques * And more Each section contains specific, actionable guidelines organized into items, each with carefully worded advice supported by detailed technical arguments and illuminating examples. Using Effective Python, you can systematically improve all the Python code you write: not by blindly following rules or mimicking incomprehensible idioms, but by gaining a deep understanding of the technical reasons why they make sense.""--[Source inconnue].","[{'type': 'ISBN_13', 'identifier': '9780134034287'}, {'type': 'ISBN_10', 'identifier': '0134034287'}]",False,True,227.0,BOOK,,,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=bTUFCAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=bTUFCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=bTUFCAAAQBAJ&printsec=frontcover&dq=Python&hl=&cd=4&source=gbs_api,http://books.google.com/books?id=bTUFCAAAQBAJ&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Effective_Python.html?hl=&id=bTUFCAAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,False,False,http://play.google.com/books/reader?id=bTUFCAAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Effective Python will help students harness the full power of Python to write exceptionally robust, efficient, maintainable, and well-performing code.",Pearson Education,['Computers'],,,,,,,,python,
4,books#volume,4pgQfXQvekcC,hFL+zOchMTU,https://www.googleapis.com/books/v1/volumes/4pgQfXQvekcC,Learning Python,Powerful Object-Oriented Programming,['Mark Lutz'],2013-06-12,"Get a comprehensive, in-depth introduction to the core Python language with this hands-on book. Based on author Mark Lutz’s popular training course, this updated fifth edition will help you quickly write efficient, high-quality code with Python. It’s an ideal way to begin, whether you’re new to programming or a professional developer versed in other languages. Complete with quizzes, exercises, and helpful illustrations, this easy-to-follow, self-paced tutorial gets you started with both Python 2.7 and 3.3— the latest releases in the 3.X and 2.X lines—plus all other releases in common use today. You’ll also learn some advanced language features that recently have become more common in Python code. Explore Python’s major built-in object types such as numbers, lists, and dictionaries Create and process objects with Python statements, and learn Python’s general syntax model Use functions to avoid code redundancy and package code for reuse Organize statements, functions, and other tools into larger components with modules Dive into classes: Python’s object-oriented programming tool for structuring code Write large programs with Python’s exception-handling model and development tools Learn advanced Python tools, including decorators, descriptors, metaclasses, and Unicode processing","[{'type': 'ISBN_13', 'identifier': '9781449355692'}, {'type': 'ISBN_10', 'identifier': '1449355692'}]",True,True,1648.0,BOOK,3.0,5.0,NOT_MATURE,True,1.37.41.0.preview.3,False,False,http://books.google.com/books/content?id=4pgQfXQvekcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=4pgQfXQvekcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=4pgQfXQvekcC&printsec=frontcover&dq=Python&hl=&cd=5&source=gbs_api,https://play.google.com/store/books/details?id=4pgQfXQvekcC&source=gbs_api,https://play.google.com/store/books/details?id=4pgQfXQvekcC,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=4pgQfXQvekcC&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Get a comprehensive, in-depth introduction to the core Python language with this hands-on book.","""O'Reilly Media, Inc.""",,63.99,USD,63.99,USD,https://play.google.com/store/books/details?id=4pgQfXQvekcC&rdid=book-4pgQfXQvekcC&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 63990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 63990000, 'currencyCode': 'USD'}, 'giftable': True}]",,python,
5,books#volume,s_qTvgEACAAJ,Mig7kCrKLdM,https://www.googleapis.com/books/v1/volumes/s_qTvgEACAAJ,Violent Python,"A Cookbook for Hackers, Forensic Analysts, Penetration Testers and Security Engineers","[""TJ O'Connor""]",2012-11-22,"Violent Python shows you how to move from a theoretical understanding of offensive computing concepts to a practical implementation. Instead of relying on another attacker's tools, this book will teach you to forge your own weapons using the Python programming language. This book demonstrates how to write Python scripts to automate large-scale network attacks, extract metadata, and investigate forensic artifacts. It also shows how to write code to intercept and analyze network traffic using Python, craft and spoof wireless frames to attack wireless and Bluetooth devices, and how to data-mine popular social media websites and evade modern anti-virus. Demonstrates how to write Python scripts to automate large-scale network attacks, extract metadata, and investigate forensic artifacts Write code to intercept and analyze network traffic using Python. Craft and spoof wireless frames to attack wireless and Bluetooth devices Data-mine popular social media websites and evade modern anti-virus","[{'type': 'ISBN_10', 'identifier': '1597499579'}, {'type': 'ISBN_13', 'identifier': '9781597499576'}]",False,False,288.0,BOOK,,,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=s_qTvgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=s_qTvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com/books?id=s_qTvgEACAAJ&dq=Python&hl=&cd=6&source=gbs_api,http://books.google.com/books?id=s_qTvgEACAAJ&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Violent_Python.html?hl=&id=s_qTvgEACAAJ,US,NOT_FOR_SALE,False,US,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=s_qTvgEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"This book demonstrates how to write Python scripts to automate large-scale network attacks, extract metadata, and investigate forensic artifacts.",Syngress,['Computers'],,,,,,,,python,
6,books#volume,RQ6xDwAAQBAJ,x3vYrqBoCV4,https://www.googleapis.com/books/v1/volumes/RQ6xDwAAQBAJ,"Automate the Boring Stuff with Python, 2nd Edition",Practical Programming for Total Beginners,['Al Sweigart'],2019-11-12,"The second edition of this best-selling Python book (over 500,000 copies sold!) uses Python 3 to teach even the technically uninclined how to write programs that do in minutes what would take hours to do by hand. There is no prior programming experience required and the book is loved by liberal arts majors and geeks alike. If you've ever spent hours renaming files or updating hundreds of spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you? In this fully revised second edition of the best-selling classic Automate the Boring Stuff with Python, you'll learn how to use Python to write programs that do in minutes what would take you hours to do by hand--no prior programming experience required. You'll learn the basics of Python and explore Python's rich library of modules for performing specific tasks, like scraping data off websites, reading PDF and Word documents, and automating clicking and typing tasks. The second edition of this international fan favorite includes a brand-new chapter on input validation, as well as tutorials on automating Gmail and Google Sheets, plus tips on automatically updating CSV files. You'll learn how to create programs that effortlessly perform useful feats of automation to: • Search for text in a file or across multiple files • Create, update, move, and rename files and folders • Search the Web and download online content • Update and format data in Excel spreadsheets of any size • Split, merge, watermark, and encrypt PDFs • Send email responses and text notifications • Fill out online forms Step-by-step instructions walk you through each program, and updated practice projects at the end of each chapter challenge you to improve those programs and use your newfound skills to automate similar tasks. Don't spend your time doing work a well-trained monkey could do. Even if you've never written a line of code, you can make your computer do the grunt work. Learn how in Automate the Boring Stuff with Python, 2nd Edition.","[{'type': 'ISBN_13', 'identifier': '9781593279936'}, {'type': 'ISBN_10', 'identifier': '1593279930'}]",True,False,592.0,BOOK,4.5,2.0,NOT_MATURE,True,1.2.2.0.preview.2,False,False,http://books.google.com/books/content?id=RQ6xDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=RQ6xDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=RQ6xDwAAQBAJ&pg=PP1&dq=Python&hl=&cd=7&source=gbs_api,https://play.google.com/store/books/details?id=RQ6xDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=RQ6xDwAAQBAJ,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED,True,False,http://play.google.com/books/reader?id=RQ6xDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"The second edition of this best-selling Python book (over 500,000 copies sold!) uses Python 3 to teach even the technically uninclined how to write programs that do in minutes what would take hours to do by hand.",No Starch Press,['Computers'],23.99,USD,23.99,USD,https://play.google.com/store/books/details?id=RQ6xDwAAQBAJ&rdid=book-RQ6xDwAAQBAJ&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 23990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 23990000, 'currencyCode': 'USD'}, 'giftable': True}]",,python,
7,books#volume,H9emM_LGFDEC,bnZ7GBs59ro,https://www.googleapis.com/books/v1/volumes/H9emM_LGFDEC,Programming in Python 3,A Complete Introduction to the Python Language,['Mark Summerfield'],2010,"Practical Python 3 for experienced developers: use the right idioms, techniques, and features to write great code * *Written from a completely 'Python 3' point of view: teaches best practices for making the most of today's newest version of Python. *Designed to help developers get productive fast... then learn how to write any program, use any library, create any library module. *Includes expert guidance on migrating Python 2 code to Python 3. Around the world, programmers appreciate Python for its simplicity, power, expressiveness, and the sheer pleasure of writing Python code. Python 3.1 is the newest and best version of the language yet: more convenient, more consistent, and easier to use. Mark Summerfield demonstrates how to write code that takes full advantage of the latest Python 3 features and idioms. Programming in Python 3, 2/e, brings together all the knowledge needed to write programs, use any library, and even create new library modules. The book teaches every aspect of the Python 3 language. It covers all the built-in functionality, as well as key components of Python's standard library. Structured so readers can write Python programs from chapter 1, each subsequent chapter provides further depth and broader coverage. Two new chapters have been added to this edition increasing the coverage to include parsing, debugging, testing, and profiling. Readers will master Python procedural and object-oriented techniques; creation of custom modules and packages; writing and reading files; multithreading; networking; database programming; GUIs; regular expressions; application debugging, testing, and profiling; and more. Detailed appendices include coverage of migrating applications from Python 2 to Python 3, plus a complete language reference. All sample code has been tested with the final version of Python 3 on Windows, Linux, and Mac OS X.","[{'type': 'ISBN_13', 'identifier': '9780321680563'}, {'type': 'ISBN_10', 'identifier': '0321680561'}]",False,True,630.0,BOOK,,,NOT_MATURE,False,preview-1.0.0,,,http://books.google.com/books/content?id=H9emM_LGFDEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=H9emM_LGFDEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=H9emM_LGFDEC&printsec=frontcover&dq=Python&hl=&cd=8&source=gbs_api,http://books.google.com/books?id=H9emM_LGFDEC&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Programming_in_Python_3.html?hl=&id=H9emM_LGFDEC,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,False,False,http://play.google.com/books/reader?id=H9emM_LGFDEC&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Now fully updated, this edition brings together all the knowledge needed to write programs, use any library, and even create new library modules.",Addison-Wesley Professional,['Computers'],,,,,,,,python,
8,books#volume,aJQILlLxRmAC,75KFZatFIrA,https://www.googleapis.com/books/v1/volumes/aJQILlLxRmAC,Python Programming,An Introduction to Computer Science,['John M. Zelle'],2004,"This book is suitable for use in a university-level first course in computing (CS1), as well as the increasingly popular course known as CS0. It is difficult for many students to master basic concepts in computer science and programming. A large portion of the confusion can be blamed on the complexity of the tools and materials that are traditionally used to teach CS1 and CS2. This textbook was written with a single overarching goal: to present the core concepts of computer science as simply as possible without being simplistic.","[{'type': 'ISBN_13', 'identifier': '9781887902991'}, {'type': 'ISBN_10', 'identifier': '1887902996'}]",False,True,517.0,BOOK,4.0,20.0,NOT_MATURE,False,preview-1.0.0,,,http://books.google.com/books/content?id=aJQILlLxRmAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=aJQILlLxRmAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=aJQILlLxRmAC&printsec=frontcover&dq=Python&hl=&cd=9&source=gbs_api,http://books.google.com/books?id=aJQILlLxRmAC&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Python_Programming.html?hl=&id=aJQILlLxRmAC,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=aJQILlLxRmAC&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"This book is suitable for use in a university-level first course in computing (CS1), as well as the increasingly popular course known as CS0.","Franklin, Beedle & Associates, Inc.",['Computers'],,,,,,,,python,
9,books#volume,6omNDQAAQBAJ,35OQXORGJgY,https://www.googleapis.com/books/v1/volumes/6omNDQAAQBAJ,Python Data Science Handbook,Essential Tools for Working with Data,['Jake VanderPlas'],2016-11-21,"For many researchers, Python is a first-class tool mainly because of its libraries for storing, manipulating, and gaining insight from data. Several resources exist for individual pieces of this data science stack, but only with the Python Data Science Handbook do you get them all—IPython, NumPy, Pandas, Matplotlib, Scikit-Learn, and other related tools. Working scientists and data crunchers familiar with reading and writing Python code will find this comprehensive desk reference ideal for tackling day-to-day issues: manipulating, transforming, and cleaning data; visualizing different types of data; and using data to build statistical or machine learning models. Quite simply, this is the must-have reference for scientific computing in Python. With this handbook, you’ll learn how to use: IPython and Jupyter: provide computational environments for data scientists using Python NumPy: includes the ndarray for efficient storage and manipulation of dense data arrays in Python Pandas: features the DataFrame for efficient storage and manipulation of labeled/columnar data in Python Matplotlib: includes capabilities for a flexible range of data visualizations in Python Scikit-Learn: for efficient and clean Python implementations of the most important and established machine learning algorithms","[{'type': 'ISBN_13', 'identifier': '9781491912133'}, {'type': 'ISBN_10', 'identifier': '1491912138'}]",True,True,548.0,BOOK,5.0,1.0,NOT_MATURE,True,1.3.4.0.preview.3,False,False,http://books.google.com/books/content?id=6omNDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=6omNDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=6omNDQAAQBAJ&printsec=frontcover&dq=Python&hl=&cd=10&source=gbs_api,https://play.google.com/store/books/details?id=6omNDQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=6omNDQAAQBAJ,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=6omNDQAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"With this handbook, you’ll learn how to use: IPython and Jupyter: provide computational environments for data scientists using Python NumPy: includes the ndarray for efficient storage and manipulation of dense data arrays in Python Pandas ...","""O'Reilly Media, Inc.""",['Computers'],59.99,USD,59.99,USD,https://play.google.com/store/books/details?id=6omNDQAAQBAJ&rdid=book-6omNDQAAQBAJ&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 59990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 59990000, 'currencyCode': 'USD'}, 'giftable': True}]",,python,
